date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:27:21	90/90	---MCZ	200	added ('OK')	text/plain	etag:W/%22robots.3dc2c2b649.txt%22	https://raraavis.quest/robots.txt		(from )
20:27:21	3098/3098	---MCZ	200	added ('OK')	text/html	etag:W/%22index.c810a4281e.html%22	https://raraavis.quest/	/Users/oneilbenjamin/websites/rival/index-2.html	(from )
20:27:22	254129/254129	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%220.cef57f2007.svg%22	https://raraavis.quest/0.svg	/Users/oneilbenjamin/websites/rival/0.svg	(from https://raraavis.quest/)
20:27:23	497/497	---MCZ	200	added ('OK')	application/json	etag:W/%22manifest.912bc20d2e.json%22	https://raraavis.quest/manifest.json	/Users/oneilbenjamin/websites/rival/manifest.json	(from https://raraavis.quest/)
20:27:23	1174620/1174620	---M--	200	added ('OK')	image/png	etag:%220.6ae41d529f.png%22	https://raraavis.quest/0.png	/Users/oneilbenjamin/websites/rival/0.png	(from https://raraavis.quest/)
20:27:25	45738/45738	---MCZ	200	added ('OK')	text/css	etag:W/%22static/css/main.43594b13.chunk.f493fc7bed.css%22	https://raraavis.quest/static/css/main.43594b13.chunk.css	/Users/oneilbenjamin/websites/rival/static/css/main.43594b13.chunk.css	(from https://raraavis.quest/)
20:27:27	156328/156328	---MCZ	200	added ('OK')	application/javascript	etag:W/%22static/js/main.eda9c8f8.chunk.3d2e8e9420.js%22	https://raraavis.quest/static/js/main.eda9c8f8.chunk.js	/Users/oneilbenjamin/websites/rival/static/js/main.eda9c8f8.chunk.js	(from https://raraavis.quest/)
20:27:27	1449725/1449725	---MCZ	200	added ('OK')	application/javascript	etag:W/%22static/js/2.b870cd69.chunk.f83a0cbd45.js%22	https://raraavis.quest/static/js/2.b870cd69.chunk.js	/Users/oneilbenjamin/websites/rival/static/js/2.b870cd69.chunk.js	(from https://raraavis.quest/)
20:27:28	1105804/1105804	---M--	200	added ('OK')	image/png	etag:%22static/media/plainBackground.d21e5fd8.425010b74c.png%22	https://raraavis.quest/static/media/plainBackground.d21e5fd8.png	/Users/oneilbenjamin/websites/rival/static/media/plainBackground.d21e5fd8.png	(from https://raraavis.quest/static/css/main.43594b13.chunk.css)
20:27:28	92204/92204	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2030%20Jan%202023%2001:27:28%20GMT	https://raraavis.quest/static/media/fd1ad3a0f95210975d2f5607501020b5.6679b4ca.eot	/Users/oneilbenjamin/websites/rival/static/media/fd1ad3a0f95210975d2f5607501020b5.6679b4ca.eot	(from https://raraavis.quest/static/css/main.43594b13.chunk.css)
